iteration,tau,acceptance_ratio,mean_residual,mean_label_distance,residual_error,acceptance_error,control_error,tp,fp,fn,tn,precision,recall,f1,sample_id,scenario,lambda_filter
0,0.5,0.16505576208178438,0.07033423359842532,0.09780030826593014,0.03033423359842532,0.03494423791821563,0.06527847151664096,76,146,149,974,0.34234234234234234,0.3377777777777778,0.3400447427293065,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
1,0.5107990870594357,0.1524163568773234,0.07025020026044014,0.09676829464367294,0.03025020026044014,0.0475836431226766,0.07783384338311675,74,131,151,989,0.36097560975609755,0.3288888888888889,0.34418604651162793,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
2,0.5199762317993212,0.14052044609665426,0.07116331723112435,0.09671888515914136,0.031163317231124345,0.05947955390334575,0.09064287113447009,68,121,157,999,0.35978835978835977,0.3022222222222222,0.3285024154589372,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
3,0.5281229461769651,0.13382899628252787,0.07171658658820054,0.09635167491519102,0.03171658658820054,0.06617100371747214,0.09788759030567268,66,114,159,1006,0.36666666666666664,0.29333333333333333,0.32592592592592595,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
4,0.5357098640063813,0.12565055762081784,0.07112418914082198,0.09580287188537892,0.031124189140821983,0.07434944237918217,0.10547363152000416,61,108,164,1012,0.3609467455621302,0.27111111111111114,0.3096446700507614,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
5,0.5419782782793945,0.1204460966542751,0.07039856732206343,0.09523620898617494,0.030398567322063426,0.07955390334572492,0.10995247066778835,59,103,166,1017,0.36419753086419754,0.26222222222222225,0.3049095607235143,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
6,0.5472333240222106,0.11970260223048328,0.07057846711647353,0.09521668551476142,0.03057846711647353,0.08029739776951673,0.11087586488599027,59,102,166,1018,0.36645962732919257,0.26222222222222225,0.305699481865285,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
7,0.5524853828592577,0.11301115241635688,0.07071579480922002,0.09409292511863339,0.030715794809220022,0.08698884758364313,0.11770464239286316,58,94,167,1026,0.3815789473684211,0.2577777777777778,0.30769230769230765,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
8,0.5569696743159124,0.1100371747211896,0.0714860795178204,0.09376617935623922,0.031486079517820405,0.08996282527881042,0.12144890479663081,57,91,168,1029,0.38513513513513514,0.25333333333333335,0.3056300268096515,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
9,0.5614673609149713,0.10483271375464684,0.07255527018586297,0.09398048335653292,0.03255527018586297,0.09516728624535317,0.12772255643121613,54,87,171,1033,0.3829787234042553,0.24,0.29508196721311475,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
10,0.5658490852272337,0.10260223048327137,0.07286317964666883,0.09405863372744183,0.03286317964666883,0.09739776951672864,0.13026094916339748,53,85,172,1035,0.38405797101449274,0.23555555555555555,0.2920110192837465,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
11,0.570105953860977,0.09962825278810408,0.07314467237455675,0.09409424484117868,0.033144672374556754,0.10037174721189593,0.1335164195864527,51,83,174,1037,0.3805970149253731,0.22666666666666666,0.2841225626740947,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
12,0.5741318216467683,0.09442379182156134,0.0732438116741346,0.09370259763252559,0.0332438116741346,0.10557620817843867,0.13882001985257328,49,78,176,1042,0.3858267716535433,0.21777777777777776,0.27840909090909094,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
13,0.5775567014615308,0.09368029739776952,0.073034480637248,0.09367845213057419,0.033034480637248,0.10631970260223049,0.13935418323947849,49,77,176,1043,0.3888888888888889,0.21777777777777776,0.2792022792022792,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
14,0.580783978954876,0.09293680297397769,0.07338585934023557,0.09378883655978018,0.03338585934023557,0.10706319702602232,0.1404490563662579,48,77,177,1043,0.384,0.21333333333333335,0.2742857142857143,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
15,0.584094008996741,0.09144981412639405,0.07349630204284664,0.09345449372097067,0.03349630204284664,0.10855018587360596,0.1420464879164526,48,75,177,1045,0.3902439024390244,0.21333333333333335,0.27586206896551724,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
16,0.5872733867839636,0.08996282527881042,0.0739118605494303,0.09354894352265414,0.0339118605494303,0.1100371747211896,0.1439490352706199,47,74,178,1046,0.3884297520661157,0.2088888888888889,0.27167630057803466,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
17,0.5904746702185301,0.08773234200743495,0.07396518563655995,0.09410815721371776,0.033965185636559946,0.11226765799256506,0.146232843629125,46,72,179,1048,0.3898305084745763,0.20444444444444446,0.26822157434402333,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
18,0.5934238057877395,0.08698884758364313,0.07405926772895169,0.09389716163709591,0.03405926772895169,0.11301115241635688,0.14707042014530858,46,71,179,1049,0.39316239316239315,0.20444444444444446,0.26900584795321636,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
19,0.5963270456001707,0.08178438661710037,0.07467202798787986,0.09328224519901555,0.03467202798787986,0.11821561338289964,0.1528876413707795,45,65,180,1055,0.4090909090909091,0.2,0.2686567164179105,box_sphere_added_outliers_hard_mixed,added_outliers,0.25
0,0.5,0.24307692307692308,0.05193778443095296,0.07140812589525608,0.01193778443095296,0.0,0.01193778443095296,203,113,351,633,0.6424050632911392,0.3664259927797834,0.4666666666666667,box_sphere_added_outliers_medium_2,added_outliers,0.25
1,0.5059688922154765,0.23153846153846153,0.05161449507725514,0.0711419696464892,0.011614495077255142,0.0,0.011614495077255142,194,107,360,639,0.6445182724252492,0.35018050541516244,0.45380116959064326,box_sphere_added_outliers_medium_2,added_outliers,0.25
