scenario,lambda_filter,mean_iterations,mean_final_tau,mean_acceptance_ratio,mean_residual,mean_label_distance,mean_control_error,mean_precision,mean_recall,mean_f1,mean_iae,mean_ise,mean_tv_tau
added_outliers,0.05,7.333333333333333,0.5160179590778612,0.2855410799631831,0.05634003882556802,0.07366341922293398,0.03671453308266412,0.5811353230167559,0.4606112272586042,0.5055370218443794,0.5692127798674425,0.061864774103793006,0.016017959077861132
added_outliers,0.1,14.083333333333334,0.5543066385734923,0.24826683008445727,0.05875514302917542,0.07080449931160686,0.06476243739368205,0.6120779706574287,0.39970676079779777,0.4772979157986674,1.263971394964647,0.15068657181965892,0.054306638573492244
added_outliers,0.15,14.583333333333334,0.5724143645663151,0.24014238484108255,0.0606871050175162,0.06978815986312299,0.07156752122273442,0.609308662535911,0.3718157059010064,0.4491049096318848,1.771144607537626,0.2979190906421702,0.07241436456631516
added_outliers,0.2,15.666666666666666,0.591049124829015,0.22465436403157232,0.0617792550941233,0.06811300440340452,0.08972353866582256,0.6312260690770584,0.3422359006298677,0.4197333955401786,1.9636224750224602,0.33196493450220493,0.09104912482901496
added_outliers,0.25,16.166666666666668,0.6209306843723157,0.20225541797487492,0.06212282564249552,0.07425478879824243,0.10374404116674284,0.5427415444077477,0.30143125025034895,0.3778012004615125,2.16542627182278,0.3868470582915257,0.1235189790141329
added_outliers,0.3,14.25,0.6105532128008248,0.21205090781696143,0.061547240907665,0.06807607275552213,0.09314042141671414,0.6102674692370048,0.3232657589101025,0.406795519037847,1.8016767492940602,0.3147832065393408,0.11055321280082468
added_outliers,0.4,16.166666666666668,0.644703255871859,0.187958003711544,0.061892039998015125,0.07660247275760773,0.11587766226918571,0.5604928395661023,0.2709898219430312,0.3434764065008304,2.2991623996307697,0.4302308908200812,0.15200359503048974
added_outliers,0.5,13.583333333333334,0.6249364459070175,0.20599150013576642,0.059852537987819344,0.07338901179175536,0.09792374577085917,0.557813078781115,0.3057413889031493,0.3803416839073737,2.021316364963177,0.40796105282614215,0.16815304771278364
added_outliers,0.75,14.666666666666666,0.6728260357797171,0.17907503893792412,0.06298195102780278,0.0810490184163871,0.12319558031539007,0.5357464362051283,0.24897253040539255,0.3112455139899874,2.449689486916763,0.5251904469364345,0.25557156952834553
added_outliers,1.0,15.75,0.6811689629982133,0.17972361649261084,0.05945158017582893,0.08757524554637629,0.12056332173892582,0.4629815381646418,0.2478370947190985,0.30668809966148153,2.9656578121540744,0.6604877238731741,0.314860215630214
partial_overlap,0.05,9.583333333333334,0.5219656350730701,0.2723333333333333,0.06308561315420035,0.0729423456059315,0.050979063555283394,0.5790597611288841,0.4103195650525797,0.46269479299250493,0.9697326365082071,0.13459894781680812,0.021965635073070144
partial_overlap,0.1,17.25,0.5622761341066983,0.23338888888888887,0.06583700758842066,0.06969330789819528,0.0830082357672815,0.6074738771443383,0.35167080933321965,0.41442086905134795,2.0756389063007727,0.31190250233093886,0.062276134106698244
partial_overlap,0.15,18.166666666666668,0.594707159803786,0.21666666666666667,0.07089546267795797,0.0639457431147801,0.09928891307904103,0.6616049132125364,0.3276522507728684,0.3902511027920033,2.6005350013138835,0.4640861545336916,0.09470715980378604
partial_overlap,0.2,13.416666666666666,0.5909614482773519,0.23072222222222225,0.0686513471511674,0.06339928568765048,0.08687813088558378,0.6554894468072566,0.346534603888533,0.3984763611081254,2.07282341824563,0.41123453151216977,0.10189821463271638
partial_overlap,0.25,20.166666666666668,0.6490162680562003,0.17972222222222223,0.06462542799640543,0.07119719780739102,0.11274110061971071,0.5642178949727884,0.26311798538837733,0.3307646875296976,3.188134747843223,0.636855290770421,0.17315014866916598
partial_overlap,0.3,16.5,0.6360335543519867,0.18894444444444444,0.06458508222418853,0.07316843824889348,0.10503408818082714,0.5956741398874253,0.27571529812137235,0.3504579238720835,2.436478900989694,0.47320287974774405,0.13874597183467055
partial_overlap,0.4,18.083333333333332,0.6657833820767015,0.17166666666666666,0.06835997556435487,0.06904278450272638,0.1264200926321046,0.6204527390309241,0.2475358637154832,0.3125865134339658,2.9489270980057594,0.6030425091890421,0.23645972031147125
partial_overlap,0.5,20.5,0.6912687844056332,0.1441111111111111,0.0692223230905094,0.06380209302951768,0.14389355126937023,0.6510551639156749,0.201821638190078,0.2624779651585797,3.376342891230559,0.681906944044902,0.29769547503766697
partial_overlap,0.75,19.916666666666668,0.7159279108588142,0.12766666666666668,0.06536320006440685,0.06718675943311786,0.1516455393543788,0.6326423400057369,0.17472174112180372,0.2322050983012983,3.5671947021491435,0.7654377660585143,0.40025943861272206
partial_overlap,1.0,17.333333333333332,0.7165731165241586,0.12766666666666668,0.06509648469375665,0.0671660857704202,0.1513788239837286,0.6339709442104472,0.17459969065788558,0.2319146334874321,3.1631173079841073,0.6865058390670783,0.4108499226304469
real_previous_registration,0.05,4.2,0.507952735183697,0.009502250225541915,0.10256907361304908,0.15284896225800434,0.2563375892144065,0.23917988114786146,0.019795376651542324,0.029715408785077484,1.0534879335282188,0.2802647379114847,0.015046120272042031
real_previous_registration,0.1,4.28,0.5093142807022274,0.010737176257385416,0.10200214003570267,0.1524681125601391,0.25453572960521664,0.2515849466348941,0.022518433207409743,0.03405074111733009,1.051473748706874,0.2751033714428814,0.02794432064466676
real_previous_registration,0.15,7.08,0.5036866921695408,0.02593137043353115,0.1009224871624758,0.15240729118124466,0.23781384696753383,0.23434852240941048,0.0406492844308476,0.04768942331178247,1.3018379313561248,0.30383300737141355,0.0530225220206481
real_previous_registration,0.2,8.48,0.4895989463536581,0.048726895413823586,0.09853547980627182,0.15675631207321553,0.21261198670597226,0.2476271983347409,0.06335511784225357,0.0761825570288074,1.3489767347386832,0.30385345694171806,0.07798712230453891
real_previous_registration,0.25,6.36,0.49563371432136827,0.041419068000538656,0.10000223478006873,0.1508614383571119,0.22138259819133424,0.2698910504692918,0.05938330100140368,0.07333823218755411,1.0620333487808764,0.24709715297137666,0.07234456264801951
real_previous_registration,0.3,7.84,0.49318926350825043,0.05358378095472846,0.09749273024076802,0.15564155293633844,0.20670651182454478,0.26766473657069073,0.0654175435773038,0.07729517887423704,1.2755680312270299,0.28914938085127456,0.09341729947055341
real_previous_registration,0.4,6.8,0.5012948046731914,0.05397065597856134,0.10052226987813957,0.16138911356869046,0.2080481484145621,0.20782502097028868,0.06624526924941153,0.07806262474050164,1.1328784032230192,0.264492239471891,0.10657737159909347
real_previous_registration,0.5,6.2,0.5107942152214062,0.054219568037119255,0.10052751043644845,0.1614043969687517,0.20781817846847284,0.20766376595426242,0.0663554620868771,0.0780492638077451,1.0618878343327134,0.25369991807795594,0.12334000155666618
real_previous_registration,0.75,6.88,0.513374250903627,0.06672555789348741,0.09789053597046816,0.16186329308098324,0.19340159615701794,0.2026124318224115,0.08282249188469872,0.09774892848793731,1.0260942696084265,0.22173316010085564,0.14117996474708666
real_previous_registration,1.0,5.76,0.5321903662979157,0.06966303305729887,0.09679128768588598,0.16484806685015332,0.19243079414501824,0.15757961765762174,0.08699368711741876,0.10113921500024486,1.099143444175203,0.26688892468195236,0.29183500080801517
scene_change,0.05,2.75,0.5021535226302659,0.3296157050471358,0.04321185116412729,0.0597452022050022,0.013767540457591676,0.7273901058220288,0.4633191701849984,0.5577158175682396,0.06877498898247288,0.0046852921158471155,0.002153522630265914
scene_change,0.1,3.9166666666666665,0.5066310915879637,0.3244943047423569,0.04322557807133479,0.05957351372837912,0.016059045142576955,0.7311919154012204,0.45675816955641685,0.555324790133045,0.14247839197128448,0.012632825716918943,0.006631091587963721
scene_change,0.15,3.5,0.5096394874297626,0.32057147078330533,0.0431774442931289,0.059201935646264775,0.01606646691992662,0.7357541226122124,0.45349791074156665,0.5546125831766064,0.12173975835246902,0.01054668799659506,0.00963948742976268
scene_change,0.2,3.5,0.5098720385567567,0.32050237117507235,0.04319750387781024,0.059295547496514195,0.017642082060163513,0.7355321623437695,0.4524940063316932,0.5534158423721066,0.17419717845205507,0.019005996960076512,0.009872038556756621
scene_change,0.25,4.333333333333333,0.5144500211200689,0.31574350120196804,0.043444994146618406,0.05932075313150842,0.01883401677341612,0.7340641221956137,0.44262394787327053,0.5460007516911461,0.2577340590135539,0.031155563021123586,0.014450021120068888
scene_change,0.3,6.166666666666667,0.5373386073718969,0.2976808609813415,0.04500053409094121,0.05532891691541313,0.03586793597483069,0.7635861667886329,0.41152191716237074,0.5072423534621412,0.6965329176183929,0.131186157955195,0.037493192553238304
scene_change,0.4,6.333333333333333,0.5304796545122017,0.29661541360740606,0.043666837995552765,0.05834616619988037,0.030256265796107698,0.7463310992591877,0.41361433883038984,0.524511720991032,0.33213368963216783,0.031424876999084646,0.03047965451220171
scene_change,0.5,6.666666666666667,0.5494072956213931,0.28175889237129925,0.045157275479613936,0.054864434461934904,0.042246899585725646,0.7699631258522119,0.3860119471603594,0.4904199311956133,0.5870213820721112,0.09415476749608974,0.049694822637419755
scene_change,0.75,5.25,0.5357577527589349,0.2907049788441967,0.04376530415082824,0.058066630422192365,0.03389221052392486,0.7493052849374423,0.40578490993327737,0.5180578354778196,0.2934605121138771,0.02946437046450645,0.03591645879051025
scene_change,1.0,8.916666666666666,0.5673998865200477,0.26046064696075716,0.04548675615821509,0.053834172371109955,0.05376904615320935,0.7811391376651439,0.35397063461515893,0.4629304830855791,0.6303478467145975,0.0792432849857796,0.07075738379944777
static_noise,0.05,4.25,0.5072039976226285,0.3322777777777778,0.05470479803513387,0.07632967440630102,0.022914693210587266,0.5355588218951505,0.50801687480473,0.5145766299386365,0.22592689165909421,0.02136216709448394,0.0072039976226284845
