lambda_filter,mean_iae,mean_ise,mean_tv_tau,mean_final_f1,mean_final_precision,mean_final_recall,mean_iterations
0.005,0.20110271004633204,0.044533346969909016,0.0002811514292716989,0.35156582489168836,0.47944505764970885,0.3172723710804594,2.1411764705882352
0.01,0.2544752573387533,0.05576872800884332,0.0008567997454759686,0.35068544043941885,0.47909459636649326,0.31648260384611904,2.4352941176470586
0.02,0.3032534737313303,0.06358691359306787,0.0024611166441984816,0.3495102015574947,0.4798412608561547,0.3143887227159804,3.023529411764706
0.03,0.4308126248114748,0.08422485530864744,0.005362332685009423,0.34696445086950933,0.4815747882137789,0.30964882635865054,4.0
0.04,0.6208135742012021,0.10609115812702004,0.010923460219854584,0.34473304330752735,0.48526985853221105,0.30408283882652776,6.047058823529412
0.05,0.6811312002935861,0.12546077218556304,0.012670468588282323,0.3444506619377852,0.4866766051113305,0.3028672198299823,5.894117647058824
0.06,0.7652992400633296,0.13271674420823742,0.017190486166555236,0.3426268346319273,0.4882875283480052,0.29827523124408967,6.952941176470588
0.08,0.7639886109020249,0.13117827856543351,0.021761806065813266,0.34392303509694055,0.4933645561090957,0.2966380997106755,7.1647058823529415
0.1,1.0541147340532746,0.17770023125387274,0.03281948123770463,0.3314135699675247,0.5026374783153505,0.2804281650284259,9.176470588235293
0.15,1.2391222274244864,0.2266297057870106,0.04974867987411285,0.3267077271251023,0.5074212391305742,0.2752931791398232,9.91764705882353
0.2,1.3310855298180562,0.25455451199826556,0.06592860698957785,0.32820983314983915,0.5070084320321481,0.27753791606758005,10.023529411764706
0.25,1.6636151989222072,0.32153462484838746,0.09358270241768793,0.30100409621095087,0.5046497776230623,0.24428295044248458,12.035294117647059
0.3,1.3975021013436006,0.26751713414655903,0.08488674341721011,0.307996335344463,0.5065406378969198,0.2525637728758112,10.470588235294118
0.4,1.587192221785553,0.3123580784847263,0.12812975290156295,0.2895421693598759,0.4873108834325937,0.23220296625284007,11.529411764705882
0.5,1.9913827076442336,0.4156522729443625,0.17724889488294876,0.27472056538271256,0.5029272840969919,0.2195242590208779,12.694117647058823
0.75,2.518359982137566,0.5346889587157253,0.2768233986549682,0.26716539303242615,0.493828568561571,0.21188517101941462,15.670588235294117
1.0,2.584112815880165,0.5627714018958285,0.3429142806705997,0.25779503856386626,0.4735406668309451,0.20170493840664938,14.8
